location,budget,time_available,food_type,queue_tolerance,weather,recommended_place
main_building,low,very_short,coffee,low,bad,Vending_Machine
main_building,low,very_short,coffee,low,good,Vending_Machine
main_building,low,short,coffee,low,good,Bus_Stop_Coffee
main_building,low,short,coffee,medium,bad,Vending_Machine
main_building,low,short,snack,low,bad,Vending_Machine
main_building,low,short,snack,medium,good,Bus_Stop_Coffee
main_building,low,medium,full_meal,medium,good,Main_Cafeteria
main_building,low,medium,full_meal,high,bad,Main_Cafeteria
main_building,medium,very_short,coffee,low,good,Starbooks
main_building,medium,very_short,coffee,low,bad,Vending_Machine
main_building,medium,short,coffee,medium,good,Starbooks
main_building,medium,short,pancakes,medium,good,Siberian_Pancakes
main_building,medium,short,snack,low,good,Starbooks
main_building,medium,medium,full_meal,high,good,Yarche
main_building,medium,medium,full_meal,medium,bad,Main_Cafeteria
main_building,medium,medium,pancakes,medium,good,Siberian_Pancakes
main_building,high,short,coffee,low,good,Starbooks
main_building,high,short,pancakes,medium,good,Siberian_Pancakes
main_building,high,medium,full_meal,high,good,Yarche
main_building,high,medium,full_meal,medium,bad,Main_Cafeteria
second_building,low,very_short,coffee,low,bad,Second_Building_Cafe
second_building,low,very_short,snack,low,bad,Vending_Machine
second_building,low,short,coffee,low,good,Second_Building_Cafe
second_building,low,short,snack,medium,good,Second_Building_Cafe
second_building,low,medium,full_meal,medium,good,Main_Cafeteria
second_building,low,medium,full_meal,high,bad,Second_Building_Cafe
second_building,medium,very_short,coffee,low,bad,Second_Building_Cafe
second_building,medium,short,coffee,medium,good,Second_Building_Cafe
second_building,medium,short,pancakes,medium,good,Siberian_Pancakes
second_building,medium,medium,full_meal,high,good,Yarche
second_building,medium,medium,full_meal,medium,bad,Main_Cafeteria
second_building,high,short,coffee,low,good,Starbooks
second_building,high,medium,full_meal,high,good,Yarche
second_building,high,medium,pancakes,medium,good,Siberian_Pancakes
bus_stop,low,very_short,coffee,low,bad,Bus_Stop_Coffee
bus_stop,low,very_short,coffee,low,good,Bus_Stop_Coffee
bus_stop,low,short,coffee,medium,good,Bus_Stop_Coffee
bus_stop,low,short,snack,low,good,Bus_Stop_Coffee
bus_stop,low,medium,full_meal,medium,good,Main_Cafeteria
bus_stop,low,medium,full_meal,high,bad,Bus_Stop_Coffee
bus_stop,medium,very_short,coffee,low,good,Bus_Stop_Coffee
bus_stop,medium,short,coffee,medium,good,Starbooks
bus_stop,medium,short,pancakes,medium,good,Siberian_Pancakes
bus_stop,medium,medium,full_meal,high,good,Yarche
bus_stop,medium,medium,full_meal,medium,bad,Main_Cafeteria
bus_stop,high,short,coffee,low,good,Starbooks
bus_stop,high,medium,full_meal,high,good,Yarche
campus_center,low,very_short,coffee,low,bad,Vending_Machine
campus_center,low,very_short,snack,low,good,Bus_Stop_Coffee
campus_center,low,short,coffee,medium,good,Bus_Stop_Coffee
campus_center,low,short,snack,low,good,Bus_Stop_Coffee
campus_center,low,medium,full_meal,medium,good,Main_Cafeteria
campus_center,low,medium,full_meal,high,bad,Main_Cafeteria
campus_center,medium,very_short,coffee,low,good,Starbooks
campus_center,medium,short,coffee,medium,good,Starbooks
campus_center,medium,short,pancakes,medium,good,Siberian_Pancakes
campus_center,medium,medium,full_meal,high,good,Yarche
campus_center,medium,medium,full_meal,medium,bad,Main_Cafeteria
campus_center,medium,medium,snack,low,good,Starbooks
campus_center,high,short,coffee,low,good,Starbooks
campus_center,high,short,pancakes,high,good,Siberian_Pancakes
campus_center,high,medium,full_meal,high,good,Yarche
campus_center,high,medium,full_meal,medium,bad,Main_Cafeteria
