X,Y,walkability
9454629.14405693,7654720.97043839,0
9454629.14405693,7654715.97043839,0
9454629.14405693,7654710.97043839,0
9454629.14405693,7654705.97043839,0
9454629.14405693,7654700.97043839,0
9454629.14405693,7654695.97043839,0
9454629.14405693,7654690.97043839,0
9454629.14405693,7654685.97043839,0
9454629.14405693,7654680.97043839,0
9454629.14405693,7654675.97043839,0
9454629.14405693,7654670.97043839,0
9454629.14405693,7654665.97043839,0
9454629.14405693,7654660.97043839,0
9454629.14405693,7654655.97043839,0
9454629.14405693,7654650.97043839,0
9454629.14405693,7654645.97043839,0
9454629.14405693,7654640.97043839,0
9454629.14405693,7654635.97043839,0
9454629.14405693,7654630.97043839,0
9454629.14405693,7654625.97043839,0
9454629.14405693,7654620.97043839,0
9454629.14405693,7654615.97043839,0
9454629.14405693,7654610.97043839,0
9454629.14405693,7654605.97043839,0
9454629.14405693,7654600.97043839,0
9454629.14405693,7654595.97043839,0
9454629.14405693,7654590.97043839,0
9454629.14405693,7654585.97043839,0
9454629.14405693,7654580.97043839,0
9454629.14405693,7654575.97043839,0
9454629.14405693,7654570.97043839,0
9454629.14405693,7654565.97043839,0
9454629.14405693,7654560.97043839,0
9454629.14405693,7654555.97043839,0
9454629.14405693,7654550.97043839,0
9454629.14405693,7654545.97043839,0
9454629.14405693,7654540.97043839,0
9454629.14405693,7654535.97043839,0
9454629.14405693,7654530.97043839,0
9454629.14405693,7654525.97043839,0
9454629.14405693,7654520.97043839,0
9454629.14405693,7654515.97043839,0
9454629.14405693,7654510.97043839,0
9454629.14405693,7654505.97043839,0
9454629.14405693,7654500.97043839,0
9454629.14405693,7654495.97043839,0
9454629.14405693,7654490.97043839,0
9454629.14405693,7654485.97043839,0
9454629.14405693,7654480.97043839,0
9454629.14405693,7654475.97043839,0
9454629.14405693,7654470.97043839,0
9454629.14405693,7654465.97043839,0
9454629.14405693,7654460.97043839,0
9454629.14405693,7654455.97043839,0
9454629.14405693,7654450.97043839,0
9454629.14405693,7654445.97043839,0
9454629.14405693,7654440.97043839,0
9454629.14405693,7654435.97043839,0
9454629.14405693,7654430.97043839,0
9454629.14405693,7654425.97043839,0
9454629.14405693,7654420.97043839,0
9454629.14405693,7654415.97043839,0
9454629.14405693,7654410.97043839,0
9454629.14405693,7654405.97043839,0
9454629.14405693,7654400.97043839,0
9454629.14405693,7654395.97043839,0
9454629.14405693,7654390.97043839,0
9454629.14405693,7654385.97043839,0
9454629.14405693,7654380.97043839,0
